ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm
1717174740000,67185.1,67222.2,67185.1,67197.6,2.96067589,198986.359397813,198986.359397813,1
1717174680000,67168.9,67185.2,67155.3,67185.1,1.76177386,118344.300466628,118344.300466628,1
1717174620000,67155.4,67171.4,67155.4,67168.9,3.54370278,238003.370804504,238003.370804504,1
1717174560000,67115.1,67165,67115.1,67155.5,5.57303919,374177.266381459,374177.266381459,1
1717174500000,67134.4,67151.9,67108.1,67114.5,10.32081149,692751.506359975,692751.506359975,1
1717174440000,67156.2,67168.9,67091.9,67134.3,13.00379495,872940.333321559,872940.333321559,1
1717174380000,67152.8,67168.8,67146.8,67159.3,4.00950792,269265.721707611,269265.721707611,1
1717174320000,67084.5,67152.9,67084.5,67152.9,8.62270298,578720.58823802,578720.58823802,1
1717174260000,67069.9,67090,67061.5,67085,35.05247734,2350994.562122395,2350994.562122395,1
1717174200000,67016,67069.9,67016,67069.8,7.14498098,478975.845204116,478975.845204116,1
1717174140000,66976.2,67014.5,66976.1,67014.5,3.47040293,232501.410626501,232501.410626501,1
1717174080000,67000,67002.3,66973,66979.9,0.77216784,51734.081536118,51734.081536118,1
1717174020000,67021.3,67025.8,66975,67000,5.8828601,394117.214935671,394117.214935671,1
1717173960000,66955.6,67064.5,66944.2,67021.4,9.85722059,660697.214184256,660697.214184256,1
1717173900000,66944.1,66984.2,66944.1,66952,1.37058856,91787.470345409,91787.470345409,1
1717173840000,66946.6,66957.5,66936.1,66947.5,1.71137058,114564.844710079,114564.844710079,1
1717173780000,66950.9,66965.7,66944.4,66946.6,0.63350621,42418.552420036,42418.552420036,1
1717173720000,66980,66981.1,66936.1,66957.4,1.34377605,89980.650930448,89980.650930448,1
1717173660000,66931.2,66984,66929.4,66980.1,10.70671918,716928.67832037,716928.67832037,1
1717173600000,66952.5,66952.5,66873.9,66930.6,11.33091804,758103.229876609,758103.229876609,1
1717173540000,66967.7,66967.7,66925.2,66952.5,2.86490064,191753.653228381,191753.653228381,1
1717173480000,66899.6,66988,66899.6,66968.5,22.7958689,1526163.219512498,1526163.219512498,1
1717173420000,67021.3,67021.3,66892.5,66899.7,23.6865555,1586481.850726889,1586481.850726889,1
1717173360000,67002.6,67039.7,66998.5,67024.6,15.92035476,1066966.45504442,1066966.45504442,1
1717173300000,67064.9,67064.9,66987.7,67002.6,7.73932847,518666.477706541,518666.477706541,1
1717173240000,67081.4,67111.1,67065,67065,5.89787902,395672.276468467,395672.276468467,1
1717173180000,67043.3,67080.2,67032,67080.2,10.98320375,736469.015732871,736469.015732871,1
1717173120000,67024.6,67044,67020.3,67043.3,8.74279754,586067.833233976,586067.833233976,1
1717173060000,67011.7,67041.3,67005.5,67027,14.40766134,965729.580672253,965729.580672253,1
1717173000000,66988,67039.6,66972.5,67011.7,20.25751706,1357343.519709182,1357343.519709182,1
1717172940000,67011.7,67036,66983.2,66988.1,14.99875669,1005218.329310074,1005218.329310074,1
1717172880000,66972,67023.5,66971.9,67011.2,18.67330765,1251018.365916796,1251018.365916796,1
1717172820000,66941,66974.6,66931.3,66974.6,8.156493,546073.331442838,546073.331442838,1
1717172760000,66888,66956.1,66885.9,66944.3,16.69513279,1117298.379681185,1117298.379681185,1
1717172700000,66870.7,66888.1,66848.1,66888,15.65664365,1047007.799207492,1047007.799207492,1
1717172640000,66755.9,66875.6,66754,66871.9,16.90265647,1129138.808290258,1129138.808290258,1
1717172580000,66774.7,66784,66732.1,66754,7.68816218,513227.408902923,513227.408902923,1
1717172520000,66731.5,66784,66719.2,66777,18.44254607,1230837.096789441,1230837.096789441,1
1717172460000,66708,66752.8,66708,66730.5,10.25417985,684308.570260525,684308.570260525,1
1717172400000,66706.9,66746.1,66673.8,66708,20.18865613,1346677.656644655,1346677.656644655,1
1717172340000,66747.2,66747.2,66654.1,66704.1,51.05768626,3405121.020501331,3405121.020501331,1
1717172280000,66817,66817,66722.3,66747.2,28.59869458,1909264.559902055,1909264.559902055,1
1717172220000,66865.1,66865.1,66809.1,66817.1,10.45631963,698836.173088691,698836.173088691,1
1717172160000,66894.6,66907.3,66860,66864.1,14.06767721,940859.788338569,940859.788338569,1
1717172100000,66817,66894.6,66817,66894.5,21.02190957,1405461.732000308,1405461.732000308,1
1717172040000,66867.1,66888,66811.5,66816,17.63543388,1178934.610098702,1178934.610098702,1
1717171980000,66826.9,66889.9,66812.1,66867.1,14.90771681,996436.088671761,996436.088671761,1
1717171920000,66900.7,66900.7,66800,66830.4,15.98198505,1068239.732546101,1068239.732546101,1
1717171860000,66921.1,66948,66885.1,66900.8,26.93190462,1802041.76668591,1802041.76668591,1
1717171800000,66844.3,66930.8,66825,66921.2,26.1058029,1745822.170005667,1745822.170005667,1
1717171740000,66874.1,66896,66830,66844.3,22.4549137,1501424.238718216,1501424.238718216,1
1717171680000,66948.3,66973.3,66874,66874.1,24.59582873,1646115.281221863,1646115.281221863,1
1717171620000,66930.8,66959.2,66857.1,66948.3,55.54887524,3716517.073623395,3716517.073623395,1
1717171560000,67169.7,67205.7,66909.5,66930.8,66.54493621,4459392.505113483,4459392.505113483,1
1717171500000,67209.1,67259.9,67162.2,67169.8,13.80566251,928020.627826908,928020.627826908,1
1717171440000,67115.2,67209,67108.5,67209,17.55939687,1179194.700991837,1179194.700991837,1
1717171380000,67097.2,67147.7,67087.9,67118.4,21.25404436,1426277.309250013,1426277.309250013,1
1717171320000,67192.1,67192.1,67065.6,67098.2,13.67504259,917824.487478357,917824.487478357,1
1717171260000,67325,67346.9,67192,67192.1,3.36244396,226156.141783375,226156.141783375,1
1717171200000,67209.7,67325,67000,67325,106.23929468,7130485.303097165,7130485.303097165,1
1717171140000,67220,67224,67200.1,67209.6,12.51987912,841498.806443117,841498.806443117,1
1717171080000,67276.3,67299.8,67202.3,67202.3,14.79999676,995070.322238861,995070.322238861,1
1717171020000,67308,67308,67246.4,67272,16.80183433,1130421.319043373,1130421.319043373,1
1717170960000,67293.3,67306.8,67280,67306.8,6.7514326,454306.796231373,454306.796231373,1
1717170900000,67313.3,67344,67293.4,67293.4,7.44822012,501462.772217278,501462.772217278,1
1717170840000,67353.9,67353.9,67303.3,67310,0.40842635,27500.558623527,27500.558623527,1
1717170780000,67299.5,67363.6,67299.5,67357.5,12.95838001,872484.762121312,872484.762121312,1
1717170720000,67360,67360,67280,67296.5,10.14553655,682703.095025045,682703.095025045,1
1717170660000,67300,67377.3,67298.8,67360.6,8.65017086,582446.179042827,582446.179042827,1
1717170600000,67372.2,67388,67298.1,67300.1,1.40252743,94434.879244176,94434.879244176,1
1717170540000,67323.6,67372.2,67323.6,67372.2,1.24373504,83749.06502326,83749.06502326,1
1717170480000,67401.8,67417.7,67314.9,67323.4,3.62717762,244359.467407486,244359.467407486,1
1717170420000,67394.9,67404.3,67364.2,67404.3,1.28273704,86438.649544589,86438.649544589,1
1717170360000,67363.6,67398.2,67343.8,67398.2,1.11540255,75145.360965393,75145.360965393,1
1717170300000,67421.2,67421.2,67360.7,67363.6,2.05463705,138465.284844762,138465.284844762,1
1717170240000,67391.3,67437.6,67391.3,67421.3,1.63036305,109900.32854704,109900.32854704,1
1717170180000,67380.6,67398.3,67376.1,67391.3,0.94617801,63757.20657279,63757.20657279,1
1717170120000,67346.9,67380.6,67346.9,67380.6,0.28293242,19057.912620013,19057.912620013,1
1717170060000,67392,67397.9,67340.5,67343,1.17452872,79106.824427251,79106.824427251,1
1717170000000,67376,67397.8,67367.4,67391.1,3.54826736,239088.08304843,239088.08304843,1
1717169940000,67380.8,67400.5,67374.2,67376.1,1.03431193,69703.782589506,69703.782589506,1
1717169880000,67364.8,67420.4,67364.8,67380.9,4.47392202,301486.110170958,301486.110170958,1
1717169820000,67360,67390,67339.2,67367.2,3.39965151,229008.913610209,229008.913610209,1
1717169760000,67377.2,67415.9,67318.4,67359.9,19.12395715,1288090.453590373,1288090.453590373,1
